run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.training_score,metrics.training_recall_score,metrics.training_precision_score,metrics.False_f1-score,metrics.training_f1_score,metrics.False_precision,metrics.training_log_loss,metrics.False_recall,metrics.training_roc_auc,metrics.True_recall,metrics.False_support,metrics.training_accuracy_score,metrics.True_support,metrics.True_precision,metrics.True_f1-score,params.random_state,params.class_weight,params.verbose,params.bootstrap,params.max_samples,params.min_weight_fraction_leaf,params.max_leaf_nodes,params.min_samples_split,params.criterion,params.n_estimators,params.min_impurity_decrease,params.ccp_alpha,params.n_jobs,params.oob_score,params.max_features,params.min_samples_leaf,params.max_depth,params.monotonic_cst,params.warm_start,tags.mlflow.source.type,tags.estimator_class,tags.mlflow.runName,tags.mlflow.user,tags.estimator_name,tags.mlflow.source.name,tags.mlflow.source.git.commit
810057705bfa4cb2ac17b1a009e8d755,0,FINISHED,mlflow-artifacts:/b2b127581fef4564a7384fbd92f0425e/810057705bfa4cb2ac17b1a009e8d755/artifacts,2026-05-28 11:47:08.992000+00:00,2026-05-28 11:47:41.402000+00:00,0.9997281306447451,0.9997281306447451,0.999731915517789,0.9992194626517581,0.9997290646519759,1.0,0.0013722580472415047,0.998440142830295,0.9999925931407742,1.0,53210.0,0.9997281306447451,1045.0,0.9264184397163121,0.9618039576622182,42,balanced,0,True,None,0.0,None,2,gini,100,0.0,0.0,None,False,sqrt,1,None,None,False,LOCAL,sklearn.ensemble._forest.RandomForestClassifier,clean-shoat-936,amgad-h,RandomForestClassifier,outlier_detector_training.py,179ad5af0b00363744f8242d4e7686b7cdcb6aab
0cbdf0f1dc214502bc81c00992383726,0,FINISHED,mlflow-artifacts:/b2b127581fef4564a7384fbd92f0425e/0cbdf0f1dc214502bc81c00992383726/artifacts,2026-05-28 11:37:26.314000+00:00,2026-05-28 11:37:49.532000+00:00,0.9997281306447451,0.9997281306447451,0.999731915517789,,0.9997290646519759,,0.0013722580472415047,,0.9999925931407742,,,0.9997281306447451,,,,42,balanced,0,True,None,0.0,None,2,gini,100,0.0,0.0,None,False,sqrt,1,None,None,False,LOCAL,sklearn.ensemble._forest.RandomForestClassifier,crawling-goose-964,amgad-h,RandomForestClassifier,outlier_detector_training.py,179ad5af0b00363744f8242d4e7686b7cdcb6aab
66e5ecaf41434d76b0c4531c3d825cde,0,FINISHED,mlflow-artifacts:/b2b127581fef4564a7384fbd92f0425e/66e5ecaf41434d76b0c4531c3d825cde/artifacts,2026-05-28 11:29:26.942000+00:00,2026-05-28 11:29:50.728000+00:00,0.9997281306447451,0.9997281306447451,0.999731915517789,,0.9997290646519759,,0.0013722580472415047,,0.9999925931407742,,,0.9997281306447451,,,,42,balanced,0,True,None,0.0,None,2,gini,100,0.0,0.0,None,False,sqrt,1,None,None,False,LOCAL,sklearn.ensemble._forest.RandomForestClassifier,rumbling-mole-730,amgad-h,RandomForestClassifier,outlier_detector_training.py,179ad5af0b00363744f8242d4e7686b7cdcb6aab
